reference,assembly_accession,species_taxid,taxid,organism_name,strain,bioproject,biosample,assembly_level,genome_size,contig_count,taxonomy,download
M.holstebronense,GCF_963378105.1,3064288,3064288,[Mycobacterium] holstebronense,strain=Mu0102,PRJNA224116,SAMEA114267547,Complete Genome,4794172.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__[Mycobacterium] holstebronense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/378/105/GCF_963378105.1_MU0102_Flye_MinION/GCF_963378105.1_MU0102_Flye_MinION_genomic.fna.gz ./GCF_963378105.1_genomic.fna.gz
M.houstonense,GCF_025823315.1,146021,146021,Mycolicibacterium houstonense,strain=DSM 44676,PRJNA224116,SAMN15568919,Scaffold,6461255.0,18.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium houstonense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/823/315/GCF_025823315.1_ASM2582331v1/GCF_025823315.1_ASM2582331v1_genomic.fna.gz ./GCF_025823315.1_genomic.fna.gz
M.hubeiense,GCF_002838065.1,1867256,1867256,Mycobacterium hubeiense,strain=QGD101,PRJNA224116,SAMN08116703,Scaffold,5575795.0,172.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium hubeiense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/838/065/GCF_002838065.1_ASM283806v1/GCF_002838065.1_ASM283806v1_genomic.fna.gz ./GCF_002838065.1_genomic.fna.gz
M.icosiumassiliensis,GCF_900078685.2,1792835,1792835,Mycolicibacter icosiumassiliensis,strain=8WA6,PRJNA224116,SAMEA3913389,Scaffold,4849907.0,79.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter icosiumassiliensis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/078/685/GCF_900078685.2_PRJEB13234/GCF_900078685.2_PRJEB13234_genomic.fna.gz ./GCF_900078685.2_genomic.fna.gz
M.immunogenum,GCF_001605725.1,83262,83262,Mycobacteroides immunogenum,strain=CCUG 47286,PRJNA224116,SAMN03733495,Complete Genome,5573781.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides immunogenum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/725/GCF_001605725.1_ASM160572v1/GCF_001605725.1_ASM160572v1_genomic.fna.gz ./GCF_001605725.1_genomic.fna.gz
M.innocens,GCF_900566055.1,2341083,2341083,Mycobacterium innocens,strain=MK13,PRJNA224116,SAMEA4938327,Contig,6187059.0,361.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium innocens,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/566/055/GCF_900566055.1_LAUMK13/GCF_900566055.1_LAUMK13_genomic.fna.gz ./GCF_900566055.1_genomic.fna.gz
M.insubricum,GCF_010731615.1,444597,444597,Mycolicibacterium insubricum,strain=JCM 16366,PRJNA224116,SAMD00153202,Complete Genome,4577045.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium insubricum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/615/GCF_010731615.1_ASM1073161v1/GCF_010731615.1_ASM1073161v1_genomic.fna.gz ./GCF_010731615.1_genomic.fna.gz
M.interjectum,GCF_900078675.2,33895,33895,Mycobacterium interjectum,strain=ATCC 51457T,PRJNA224116,SAMEA3913390,Scaffold,5929237.0,221.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium interjectum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/078/675/GCF_900078675.2_PRJEB13236/GCF_900078675.2_PRJEB13236_genomic.fna.gz ./GCF_900078675.2_genomic.fna.gz
M.intermedium,GCF_025822065.1,28445,28445,Mycobacterium intermedium,strain=DSM 44049,PRJNA224116,SAMN15568978,Scaffold,6885661.0,111.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium intermedium,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/065/GCF_025822065.1_ASM2582206v1/GCF_025822065.1_ASM2582206v1_genomic.fna.gz ./GCF_025822065.1_genomic.fna.gz
M.intracellulare,GCF_020736005.1,1767,1767,Mycobacterium intracellulare,strain=FDAARGOS_1564,PRJNA224116,SAMN22091661,Complete Genome,5645778.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium avium complex (MAC);s__Mycobacterium intracellulare,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/736/005/GCF_020736005.1_ASM2073600v1/GCF_020736005.1_ASM2073600v1_genomic.fna.gz ./GCF_020736005.1_genomic.fna.gz
M.iranicum,GCF_002101705.1,912594,912594,Mycolicibacterium iranicum,strain=DSM 45541,PRJNA224116,SAMN04216933,Contig,6335651.0,82.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium iranicum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/705/GCF_002101705.1_ASM210170v1/GCF_002101705.1_ASM210170v1_genomic.fna.gz ./GCF_002101705.1_genomic.fna.gz
M.kansasii,GCF_000157895.3,1768,557599,Mycobacterium kansasii ATCC 12478,strain=ATCC 12478,PRJNA224116,SAMN02603596,Complete Genome,6577228.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium kansasii;x__Mycobacterium kansasii ATCC 12478,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/895/GCF_000157895.3_ASM15789v2/GCF_000157895.3_ASM15789v2_genomic.fna.gz ./GCF_000157895.3_genomic.fna.gz
M.kiyosense,GCF_026011875.1,2871094,2871094,Mycobacterium kiyosense,strain=SRL2020-400,PRJNA224116,SAMD00505761,Contig,6484216.0,186.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium kiyosense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/011/875/GCF_026011875.1_ASM2601187v1/GCF_026011875.1_ASM2601187v1_genomic.fna.gz ./GCF_026011875.1_genomic.fna.gz
M.kokjensenii,GCF_963378075.1,3064287,3064287,[Mycobacterium] kokjensenii,strain=Mu0083,PRJNA224116,SAMEA114267545,Complete Genome,4341397.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__[Mycobacterium] kokjensenii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/378/075/GCF_963378075.1_MU0083_Flye_MinION/GCF_963378075.1_MU0083_Flye_MinION_genomic.fna.gz ./GCF_963378075.1_genomic.fna.gz
M.komossense,GCF_025822605.1,1779,1779,Mycolicibacterium komossense,strain=DSM 44078,PRJNA224116,SAMN15568956,Scaffold,6920863.0,57.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium komossense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/605/GCF_025822605.1_ASM2582260v1/GCF_025822605.1_ASM2582260v1_genomic.fna.gz ./GCF_025822605.1_genomic.fna.gz
M.koreensis,GCF_010731835.1,1069220,1069220,Mycolicibacillus koreensis,strain=JCM 19956,PRJNA224116,SAMD00153215,Complete Genome,4155701.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacillus;s__Mycolicibacillus koreensis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/835/GCF_010731835.1_ASM1073183v1/GCF_010731835.1_ASM1073183v1_genomic.fna.gz ./GCF_010731835.1_genomic.fna.gz
M.kubicae,GCF_014263315.1,120959,120959,Mycobacterium kubicae,strain=NJH_MKUB1,PRJNA224116,SAMN12910285,Chromosome,5463479.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium kubicae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/263/315/GCF_014263315.1_ASM1426331v1/GCF_014263315.1_ASM1426331v1_genomic.fna.gz ./GCF_014263315.1_genomic.fna.gz
M.kumamotonensis,GCF_002086285.1,354243,354243,Mycolicibacter kumamotonensis,strain=DSM 45093,PRJNA224116,SAMN06064243,Contig,4815853.0,128.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter kumamotonensis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/285/GCF_002086285.1_ASM208628v1/GCF_002086285.1_ASM208628v1_genomic.fna.gz ./GCF_002086285.1_genomic.fna.gz
M.kyogaense,GCF_003254575.1,2212479,2212479,Mycobacterium kyogaense,strain=NCTC 11659,PRJNA224116,SAMN09281965,Contig,5759757.0,132.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium kyogaense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/575/GCF_003254575.1_ASM325457v1/GCF_003254575.1_ASM325457v1_genomic.fna.gz ./GCF_003254575.1_genomic.fna.gz
M.kyorinense,GCF_002101735.1,487514,487514,Mycobacterium kyorinense,strain=DSM 45166,PRJNA224116,SAMN04216935,Contig,5606671.0,180.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium kyorinense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/735/GCF_002101735.1_ASM210173v1/GCF_002101735.1_ASM210173v1_genomic.fna.gz ./GCF_002101735.1_genomic.fna.gz
M.lacus,GCF_010731535.1,169765,169765,Mycobacterium lacus,strain=JCM 15657,PRJNA224116,SAMD00153198,Complete Genome,5092988.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium lacus,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/535/GCF_010731535.1_ASM1073153v1/GCF_010731535.1_ASM1073153v1_genomic.fna.gz ./GCF_010731535.1_genomic.fna.gz
M.lacusdiani,GCF_021916785.1,2895283,2895283,Mycolicibacterium lacusdiani,strain=JXJ CY 35,PRJNA224116,SAMN23132885,Scaffold,6138096.0,24.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium lacusdiani,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/916/785/GCF_021916785.1_ASM2191678v1/GCF_021916785.1_ASM2191678v1_genomic.fna.gz ./GCF_021916785.1_genomic.fna.gz
M.lehmannii,GCF_001499925.1,2048550,2048550,Mycobacterium lehmannii,strain=IS-1744,PRJNA224116,SAMN04349498,Contig,5130549.0,69.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium lehmannii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/499/925/GCF_001499925.1_ASM149992v1/GCF_001499925.1_ASM149992v1_genomic.fna.gz ./GCF_001499925.1_genomic.fna.gz
M.lentiflavum,GCF_022374895.2,141349,141349,Mycobacterium lentiflavum,strain=ATCC 51985,PRJNA224116,SAMN20254258,Complete Genome,6163560.0,4.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium lentiflavum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/374/895/GCF_022374895.2_ASM2237489v2/GCF_022374895.2_ASM2237489v2_genomic.fna.gz ./GCF_022374895.2_genomic.fna.gz
M.leprae,GCF_003253775.1,1769,1769,Mycobacterium leprae,strain=MRHRU-235-G,PRJNA224116,SAMN09104579,Complete Genome,3187112.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium leprae,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/253/775/GCF_003253775.1_ASM325377v1/GCF_003253775.1_ASM325377v1_genomic.fna.gz ./GCF_003253775.1_genomic.fna.gz
M.lepromatosis,GCF_000975265.2,480418,480418,Mycobacterium lepromatosis,strain=FJ924,PRJNA224116,SAMN03481272,Complete Genome,3271694.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium lepromatosis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/975/265/GCF_000975265.2_ASM97526v2/GCF_000975265.2_ASM97526v2_genomic.fna.gz ./GCF_000975265.2_genomic.fna.gz
M.litorale,GCF_010731695.1,758802,758802,Mycolicibacterium litorale,strain=JCM 17423,PRJNA224116,SAMD00153207,Complete Genome,5579510.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium litorale,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/695/GCF_010731695.1_ASM1073169v1/GCF_010731695.1_ASM1073169v1_genomic.fna.gz ./GCF_010731695.1_genomic.fna.gz
M.llatzerense,GCF_025331195.1,280871,280871,Mycolicibacterium llatzerense,strain=MG13,PRJNA224116,SAMN04954894,Scaffold,6577636.0,19.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium llatzerense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/331/195/GCF_025331195.1_ASM2533119v1/GCF_025331195.1_ASM2533119v1_genomic.fna.gz ./GCF_025331195.1_genomic.fna.gz
M.longobardus,GCF_002102265.1,1108812,1108812,Mycolicibacter longobardus,strain=DSM 45394,PRJNA224116,SAMN04216937,Contig,4812247.0,59.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter longobardus,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/265/GCF_002102265.1_ASM210226v1/GCF_002102265.1_ASM210226v1_genomic.fna.gz ./GCF_002102265.1_genomic.fna.gz
M.lutetiense,GCF_017876775.1,1641992,1641992,Mycolicibacterium lutetiense,strain=DSM 46713,PRJNA224116,SAMN17673454,Contig,6345289.0,3.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium lutetiense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/876/775/GCF_017876775.1_ASM1787677v1/GCF_017876775.1_ASM1787677v1_genomic.fna.gz ./GCF_017876775.1_genomic.fna.gz
M.madagascariense,GCF_010729665.1,212765,212765,Mycolicibacterium madagascariense,strain=JCM 13574,PRJNA224116,SAMD00153188,Complete Genome,5940375.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium madagascariense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/665/GCF_010729665.1_ASM1072966v1/GCF_010729665.1_ASM1072966v1_genomic.fna.gz ./GCF_010729665.1_genomic.fna.gz
M.mageritense,GCF_010727475.1,53462,53462,Mycolicibacterium mageritense,strain=JCM 12375,PRJNA224116,SAMD00153174,Complete Genome,8006721.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium mageritense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/475/GCF_010727475.1_ASM1072747v1/GCF_010727475.1_ASM1072747v1_genomic.fna.gz ./GCF_010727475.1_genomic.fna.gz
M.malmoense,GCF_019645855.1,1780,1780,Mycobacterium malmoense,strain=ATCC 29571,PRJNA224116,SAMN20254263,Complete Genome,5319859.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium malmoense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/855/GCF_019645855.1_ASM1964585v1/GCF_019645855.1_ASM1964585v1_genomic.fna.gz ./GCF_019645855.1_genomic.fna.gz
M.manitobense,GCF_025821665.1,190147,190147,[Mycobacterium] manitobense,strain=DSM 44615,PRJNA224116,SAMN15568997,Scaffold,6058529.0,277.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__[Mycobacterium] manitobense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/821/665/GCF_025821665.1_ASM2582166v1/GCF_025821665.1_ASM2582166v1_genomic.fna.gz ./GCF_025821665.1_genomic.fna.gz
M.mantenii,GCF_010731775.1,560555,560555,Mycobacterium mantenii,strain=JCM 18113,PRJNA224116,SAMD00153211,Complete Genome,6185541.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium avium complex (MAC);s__Mycobacterium mantenii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/775/GCF_010731775.1_ASM1073177v1/GCF_010731775.1_ASM1073177v1_genomic.fna.gz ./GCF_010731775.1_genomic.fna.gz
M.marinum,GCF_000723425.2,1781,1131442,Mycobacterium marinum E11,strain=E11,PRJNA224116,SAMEA3139029,Complete Genome,6450522.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium ulcerans group;s__Mycobacterium marinum;x__Mycobacterium marinum E11,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/723/425/GCF_000723425.2_E11/GCF_000723425.2_E11_genomic.fna.gz ./GCF_000723425.2_genomic.fna.gz
M.marseillense,GCF_002285715.1,701042,701042,Mycobacterium marseillense,strain=FLAC0026,PRJNA224116,SAMN07528776,Complete Genome,5285642.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium avium complex (MAC);s__Mycobacterium marseillense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/715/GCF_002285715.1_ASM228571v1/GCF_002285715.1_ASM228571v1_genomic.fna.gz ./GCF_002285715.1_genomic.fna.gz
M.mengxianglii,GCF_015710575.1,2736649,2736649,Mycolicibacterium mengxianglii,strain=Z-34,PRJNA224116,SAMN16862530,Complete Genome,5962395.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium mengxianglii,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/710/575/GCF_015710575.1_ASM1571057v2/GCF_015710575.1_ASM1571057v2_genomic.fna.gz ./GCF_015710575.1_genomic.fna.gz
M.methanotrophicum,GCF_023515995.1,2943498,2943498,Candidatus Mycobacterium methanotrophicum,na,PRJNA224116,SAMN28196450,Complete Genome,5002371.0,2.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Candidatus Mycobacterium methanotrophicum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/515/995/GCF_023515995.1_ASM2351599v1/GCF_023515995.1_ASM2351599v1_genomic.fna.gz ./GCF_023515995.1_genomic.fna.gz
M.minnesotensis,GCF_010731755.1,1118379,1118379,Mycolicibacter minnesotensis,strain=JCM 17932,PRJNA224116,SAMD00153210,Complete Genome,4224047.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__Mycolicibacter minnesotensis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/755/GCF_010731755.1_ASM1073175v1/GCF_010731755.1_ASM1073175v1_genomic.fna.gz ./GCF_010731755.1_genomic.fna.gz
M.monacense,GCF_010731575.1,85693,85693,Mycolicibacterium monacense,strain=JCM 15658,PRJNA224116,SAMD00153199,Complete Genome,6042466.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium monacense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/575/GCF_010731575.1_ASM1073157v1/GCF_010731575.1_ASM1073157v1_genomic.fna.gz ./GCF_010731575.1_genomic.fna.gz
M.montefiorense,GCF_025823255.1,154654,154654,Mycobacterium montefiorense,strain=DSM 44602,PRJNA224116,SAMN15568917,Scaffold,5632745.0,18.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__Mycobacterium simiae complex;s__Mycobacterium montefiorense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/823/255/GCF_025823255.1_ASM2582325v1/GCF_025823255.1_ASM2582325v1_genomic.fna.gz ./GCF_025823255.1_genomic.fna.gz
M.moriokaense,GCF_010726085.1,39691,39691,Mycolicibacterium moriokaense,strain=JCM 6375,PRJNA224116,SAMD00153165,Complete Genome,6225779.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium moriokaense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/085/GCF_010726085.1_ASM1072608v1/GCF_010726085.1_ASM1072608v1_genomic.fna.gz ./GCF_010726085.1_genomic.fna.gz
M.mucogenicum,GCF_005670685.2,56689,1226753,Mycolicibacterium mucogenicum DSM 44124,strain=DSM 44124,PRJNA224116,SAMN08339096,Complete Genome,6099273.0,1.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium mucogenicum;x__Mycolicibacterium mucogenicum DSM 44124,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/670/685/GCF_005670685.2_ASM567068v2/GCF_005670685.2_ASM567068v2_genomic.fna.gz ./GCF_005670685.2_genomic.fna.gz
M.murale,GCF_010722995.1,182220,182220,Mycolicibacterium murale,strain=JCM 13392,PRJNA224116,SAMD00153185,Contig,6838280.0,4.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium murale,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/722/995/GCF_010722995.1_ASM1072299v1/GCF_010722995.1_ASM1072299v1_genomic.fna.gz ./GCF_010722995.1_genomic.fna.gz
M.nativiensis,GCF_020172685.2,2855503,2855503,[Mycobacterium] nativiensis,strain=MYC340,PRJNA224116,SAMN20062778,Contig,5659336.0,205.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacter;s__[Mycobacterium] nativiensis,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/172/685/GCF_020172685.2_ASM2017268v2/GCF_020172685.2_ASM2017268v2_genomic.fna.gz ./GCF_020172685.2_genomic.fna.gz
M.nebraskense,GCF_002102255.1,244292,244292,Mycobacterium nebraskense,strain=DSM 44803,PRJNA224116,SAMN04216938,Contig,6727177.0,189.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium nebraskense,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/255/GCF_002102255.1_ASM210225v1/GCF_002102255.1_ASM210225v1_genomic.fna.gz ./GCF_002102255.1_genomic.fna.gz
M.neglectum,GCF_002591975.1,242737,242737,Mycobacterium neglectum,strain=CECT 8778,PRJNA224116,SAMN07606483,Contig,6209311.0,123.0,x__Bacteria;x__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium neglectum,rsync -t -v rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/975/GCF_002591975.1_ASM259197v1/GCF_002591975.1_ASM259197v1_genomic.fna.gz ./GCF_002591975.1_genomic.fna.gz
